,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
Marc-André ter Stegen,de GER,GK,30-166,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6f51e382
Robert Lewandowski,pl POL,FW,34-053,12,11,988,11.0,14,2,14,0,0,0,0,1.28,0.18,1.46,1.28,1.46,10.1,10.1,2.7,12.7,0.92,0.24,1.16,0.92,1.16,Matches,8d78e732
Pedri,es ESP,MF,19-322,12,10,867,9.6,2,0,2,0,0,0,0,0.21,0.00,0.21,0.21,0.21,2.3,2.3,2.0,4.2,0.23,0.21,0.44,0.23,0.44,Matches,0d9b2d31
Ousmane Dembélé,fr FRA,FW,25-151,12,10,836,9.3,3,4,3,0,0,3,0,0.32,0.43,0.75,0.32,0.75,2.4,2.4,3.0,5.4,0.26,0.32,0.58,0.26,0.58,Matches,b19db005
Gavi Paez,es ESP,MF,18-069,12,10,813,9.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.7,2.0,0.04,0.18,0.22,0.04,0.22,Matches,19cae58d
Sergio Busquets,es ESP,MF,34-089,9,9,756,8.4,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.03,0.05,0.08,0.03,0.08,Matches,5ab0ea87
Raphinha,br BRA,FW,25-303,11,8,610,6.8,1,1,1,0,0,1,0,0.15,0.15,0.30,0.15,0.30,2.1,2.1,2.0,4.1,0.30,0.30,0.60,0.30,0.60,Matches,3423f250
Ronald Araújo,uy URU,DF,23-220,7,7,600,6.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.09,0.03,0.12,0.09,0.12,Matches,2bef2bca
Alejandro Balde,es ESP,DF,18-360,9,7,596,6.6,0,3,0,0,0,1,0,0.00,0.45,0.45,0.00,0.45,0.1,0.1,1.6,1.7,0.01,0.24,0.25,0.01,0.25,Matches,5ccc9672
Eric García,es ESP,DF,21-277,9,7,588,6.5,1,0,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,0.9,0.9,0.1,1.0,0.14,0.01,0.15,0.14,0.15,Matches,2bed3eab
Frenkie de Jong,nl NED,MF,25-154,10,4,528,5.9,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,1.1,1.1,0.6,1.7,0.19,0.10,0.28,0.19,0.28,Matches,1bacc518
Andreas Christensen,dk DEN,DF,26-186,6,6,455,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.01,0.03,0.02,0.03,Matches,1cb49278
Jules Koundé,fr FRA,DF,23-335,5,5,450,5.0,0,3,0,0,0,0,0,0.00,0.60,0.60,0.00,0.60,0.2,0.2,1.3,1.5,0.05,0.26,0.31,0.05,0.31,Matches,4d1666ff
Gerard Piqué,es ESP,DF,35-253,6,4,438,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,Matches,adfc9123
Jordi Alba,es ESP,DF,33-206,6,4,381,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.8,0.03,0.15,0.18,0.03,0.18,Matches,4601e194
Ansu Fati,es ESP,FW,19-347,12,2,380,4.2,2,3,2,0,0,0,0,0.47,0.71,1.18,0.47,1.18,2.9,2.9,0.7,3.6,0.70,0.16,0.85,0.70,0.85,Matches,0ba976e4
Sergi Roberto,es ESP,DF,30-248,9,3,334,3.7,1,2,1,0,0,2,0,0.27,0.54,0.81,0.27,0.81,0.5,0.5,0.8,1.3,0.13,0.22,0.36,0.13,0.36,Matches,335fa267
Marcos Alonso,es ESP,DF,31-289,5,4,326,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.02,0.12,0.15,0.02,0.15,Matches,f4290206
Ferrán Torres,es ESP,FWMF,22-226,10,3,313,3.5,1,1,1,0,0,1,0,0.29,0.29,0.58,0.29,0.58,1.2,1.2,0.0,1.2,0.34,0.01,0.35,0.34,0.35,Matches,9e1035f8
Franck Kessié,ci CIV,MFDF,25-298,9,3,269,3.0,1,0,1,0,0,2,0,0.33,0.00,0.33,0.33,0.33,0.6,0.6,0.2,0.9,0.21,0.08,0.29,0.21,0.29,Matches,05e19d6a
Memphis Depay,nl NED,FW,28-242,3,2,130,1.4,1,0,1,0,0,0,0,0.69,0.00,0.69,0.69,0.69,0.9,0.9,0.1,1.0,0.62,0.08,0.69,0.62,0.69,Matches,8f696594
Héctor Bellerín,es ESP,DFMF,27-208,2,1,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches,f874dd44
Pablo Torre,es ESP,MF,19-193,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,04e531b6
Pierre-Emerick Aubameyang,ga GAB,DF,33-117,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.85,0.00,0.85,0.85,0.85,Matches,d5dd5f1f
Iñaki Peña,es ESP,GK,23-225,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,cc1c5035
Marc Casado,es ESP,MF,19-029,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,2ef08833
Arnau Tenas,es ESP,GK,21-136,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,30670b0e
Miralem Pjanić,ba BIH,MF,32-194,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,ad6df2d5
Chadi Riad,es ESP,DF,19-118,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,b3b9b8b8